date,open,high,low,close,volume,amount
2019-01-02,4.8500,4.8500,4.6800,4.7400,3322500,15786541.0000
2019-01-03,4.7000,4.7100,4.6000,4.6300,3152600,14677754.0000
2019-01-04,4.5800,4.7300,4.5000,4.7300,3767035,17507618.8500
2019-01-07,4.7700,5.0500,4.7700,4.9100,7213601,35576170.9400
2019-01-08,4.9300,5.3800,4.9300,5.0800,10526136,53878285.4500
2019-01-09,5.0200,5.1600,5.0200,5.0400,7553001,38392307.1000
2019-01-10,5.0800,5.0800,4.9800,5.0000,4645800,23381619.0000
2019-01-11,5.0200,5.0500,4.9500,5.0200,4138900,20722795.2400
2019-01-14,5.0500,5.2400,5.0500,5.1000,6846632,35195116.0400
2019-01-15,5.0700,5.1300,5.0000,5.1100,4716694,23886862.4000
2019-01-16,5.1100,5.1700,5.0500,5.0600,3531039,18026158.3400
2019-01-17,5.0500,5.1200,5.0200,5.0400,3120405,15768190.0700
2019-01-18,5.0800,5.1500,5.0300,5.0800,2971646,15086589.2200
2019-01-21,5.0700,5.1300,5.0400,5.1300,3211014,16347702.9800
2019-01-22,5.1500,5.1600,5.0200,5.0600,3221076,16333572.5600
2019-01-23,5.0500,5.2400,4.9900,5.1800,8987243,46223181.7300
2019-01-24,5.1800,5.3000,5.0900,5.2700,10772067,56431543.2700
2019-01-25,5.2600,5.2600,5.1400,5.1400,5600011,29146784.4700
2019-01-28,5.2000,5.2000,5.0000,5.0600,6299907,32062637.5200
2019-01-29,5.0600,5.0900,4.8400,5.0200,4966822,24720821.0400
2019-01-30,4.9500,5.0900,4.9300,4.9400,2736500,13689215.0000
2019-01-31,4.9300,5.0400,4.8300,4.8700,3756900,18498905.0000
2019-02-01,4.9000,5.0100,4.9000,4.9900,2489700,12389892.0600
2019-02-11,5.0700,5.1300,5.0100,5.1100,3615548,18343679.6000
2019-02-12,5.1200,5.1800,5.0700,5.1300,5412009,27768375.1500
2019-02-13,5.1300,5.2200,5.1000,5.1900,7275673,37636269.6900
2019-02-14,5.1600,5.2600,5.1500,5.2100,4389912,22804416.7500
2019-02-15,5.2000,5.3400,5.1200,5.2800,8010778,41903453.3200
2019-02-18,5.2800,5.3800,5.2300,5.3800,10036889,53489503.5000
2019-02-19,5.3700,5.4700,5.2600,5.3100,10064600,54003283.0000
2019-02-20,5.3100,5.3400,5.2200,5.3200,6240739,32993383.7800
2019-02-21,5.3200,5.4300,5.2400,5.2600,9951634,53249936.9200
2019-02-22,5.2700,5.4400,5.2700,5.4300,9830534,52810119.5200
2019-02-25,5.5600,5.6600,5.4300,5.6400,17490702,97272092.1600
2019-02-26,5.6000,5.8500,5.5000,5.6600,17053610,97708449.3600
2019-02-27,5.7300,5.8200,5.5600,5.6300,11440554,65033628.1000
2019-02-28,5.6000,5.6800,5.5800,5.6400,6264500,35272280.0000
2019-03-01,5.6400,5.7800,5.6100,5.7000,9537513,54135414.3200
2019-03-04,5.7300,5.8400,5.6900,5.7300,15270498,88018206.3100
2019-03-05,5.6800,5.8400,5.6400,5.8300,12429661,71693992.5000
2019-03-06,5.8300,6.2000,5.7900,6.0800,20800896,124785794.0300
2019-03-07,6.0300,6.1800,5.9500,6.0900,16708388,101480306.3400
2019-03-08,5.9900,6.0800,5.7300,5.7300,15842598,93870081.8500
2019-03-11,5.7500,5.9200,5.7400,5.9200,14699931,85685805.1500
2019-03-12,6.0100,6.0700,5.8900,5.9800,13311320,79744655.8000
2019-03-13,5.9700,6.1300,5.9000,5.9900,16308183,98063813.8600
2019-03-14,5.9000,5.9700,5.6800,5.7600,11015656,63793276.8100
2019-03-15,5.8300,5.9300,5.7600,5.8100,8566367,49947369.4400
2019-03-18,5.7500,6.0400,5.7500,6.0400,12321693,73300659.1300
2019-03-19,6.1000,6.1300,5.9400,6.0600,11349712,68281030.9900
2019-03-20,6.0600,6.0600,5.8200,5.9800,10056450,59909970.6100
2019-03-21,6.0000,6.0500,5.9600,5.9900,10373389,62417797.1300
2019-03-22,6.0200,6.2600,5.9400,6.1400,17494703,106657322.4500
2019-03-25,6.0400,6.0700,5.9900,5.9900,10462600,62983002.0000
2019-03-26,6.0200,6.0600,5.8200,5.8400,8438200,50033593.9600
2019-03-27,5.8500,5.9300,5.7700,5.8800,5307020,31034718.2400
2019-03-28,5.7700,5.7700,5.5200,5.5400,11608667,65502671.2600
2019-03-29,5.5200,5.6500,5.4200,5.6200,6743276,37512580.1900
2019-04-01,5.6600,5.8000,5.6500,5.7900,11084510,63781832.5700
2019-04-02,5.8200,5.8800,5.7600,5.8000,8869695,51623689.7500
2019-04-03,5.8000,5.9800,5.7500,5.9000,12731721,74680652.4600
2019-04-04,5.9100,5.9600,5.8400,5.9200,10652343,62922782.6500
2019-04-08,5.9300,6.0300,5.8600,5.9900,15341076,91529791.0500
2019-04-09,6.0100,6.3500,5.9300,6.2000,32260464,199347355.5300
2019-04-10,6.1000,6.2300,6.0800,6.1300,12366397,75960623.0000
2019-04-11,6.1600,6.3600,6.0600,6.1400,16815234,104780035.8800
2019-04-12,6.1600,6.2200,5.7500,5.8400,19523013,115862490.3600
2019-04-15,5.9000,5.9800,5.6600,5.7000,16758861,98085495.5500
2019-04-16,5.6600,6.2700,5.6600,6.0900,21650882,129819847.7300
2019-04-17,6.0300,6.7000,6.0200,6.7000,30317676,198884053.7400
2019-04-18,6.9000,7.0000,6.4500,6.4500,51221731,344359595.9100
2019-04-19,6.4800,6.7000,6.3100,6.6100,32088420,209688720.5200
2019-04-22,6.4900,6.5800,6.2400,6.3000,21908404,139677023.6500
2019-04-23,6.3000,6.3000,6.0400,6.1100,15444997,95036895.3200
2019-04-24,6.1300,6.4000,6.0700,6.3200,15571474,97221599.2200
2019-04-25,6.3200,6.3200,5.9100,5.9300,14694269,89622175.1000
2019-04-26,5.7700,6.1800,5.7200,6.0000,13294625,78969817.6500
2019-04-29,5.8900,5.9500,5.5200,5.5700,11359600,64651684.0000
2019-04-30,5.6000,5.6900,5.5100,5.5800,5588601,31347936.5600
2019-05-06,5.2500,5.4000,5.0500,5.1500,10435201,54545247.2100
2019-05-07,5.1900,5.2600,5.0600,5.2000,5476800,28404396.0000
2019-05-08,5.0600,5.2000,5.0400,5.0900,4689500,24028889.9600
2019-05-09,5.1000,5.1500,5.0600,5.0700,3948404,20129844.3600
2019-05-10,5.1700,5.2400,5.0500,5.2200,6861994,35599678.9200
2019-05-13,5.1100,5.2700,5.1100,5.1700,3123894,16176783.1000
2019-05-14,5.1000,5.1900,5.0700,5.0800,3337200,17079782.0000
2019-05-15,5.3000,5.3100,5.2100,5.3100,6225100,32719873.5400
2019-05-16,5.2800,5.3100,5.2100,5.2800,4301641,22604279.3100
2019-05-17,5.2600,5.3100,5.0600,5.0900,3954400,20486019.0000
2019-05-20,5.1000,5.1300,4.9100,5.0400,2951740,14759207.1600
2019-05-21,5.0000,5.1400,5.0000,5.1200,2584500,13192734.0000
2019-05-22,5.1200,5.1200,5.0300,5.0500,2649839,13434959.9000
2019-05-23,5.0500,5.3000,4.9300,5.0600,6054098,30850734.0100
2019-05-24,5.0800,5.3200,5.0800,5.2300,7634902,39911834.6000
2019-05-27,5.1800,5.3200,5.1300,5.3100,7596800,39777362.0600
2019-05-28,5.2900,5.3200,5.1700,5.1900,6007600,31480136.0000
2019-05-29,5.1500,5.2000,5.1100,5.1200,3676100,18957296.0000
2019-05-30,5.1000,5.1000,5.0100,5.0400,3299600,16625088.0000
2019-05-31,5.0500,5.1000,5.0300,5.0400,2239900,11330776.0000
2019-06-03,5.0500,5.0900,4.8900,4.9800,5602555,27888935.7700
2019-06-04,4.9800,5.0500,4.8700,4.8900,4080806,20144511.3600
2019-06-05,4.9200,4.9800,4.8600,4.8600,2431002,11922352.7200
2019-06-06,4.8800,4.9200,4.7400,4.7700,3097200,14899193.0000
2019-06-10,4.7900,4.8200,4.7300,4.7900,3181206,15207148.6600
2019-06-11,4.8200,4.9600,4.8000,4.9300,4384862,21462186.7600
2019-06-12,4.9500,4.9600,4.8600,4.8600,4387300,21526932.2600
2019-06-13,4.8600,4.9900,4.8500,4.9800,4106413,20231306.4800
2019-06-14,4.9500,5.0200,4.7700,4.8000,4996187,24307538.0300
2019-06-17,4.7700,4.8100,4.7600,4.8100,2628702,12574195.5800
2019-06-18,4.9100,4.9100,4.7900,4.8100,2326702,11241251.3600
2019-06-19,4.8800,4.9200,4.8100,4.8200,4962000,24077946.0000
2019-06-20,4.8300,4.8900,4.7700,4.8700,6460702,31238100.7200
2019-06-21,4.9100,4.9800,4.8700,4.9600,8476895,41822896.8400
2019-06-24,4.9600,4.9800,4.8400,4.8800,5957600,29170456.0000
2019-06-25,4.8900,4.9000,4.7700,4.7900,4236606,20349701.6600
2019-06-26,4.7800,4.8200,4.7500,4.7800,2469200,11835555.0000
2019-06-27,4.7800,4.9000,4.7800,4.8400,4264199,20660715.1100
2019-06-28,4.8700,4.8700,4.7200,4.7400,3998301,19058797.7300
2019-07-01,4.8000,4.9300,4.8000,4.9100,6473500,31526537.0000
2019-07-02,4.9100,4.9300,4.8600,4.9100,3772700,18494474.0000
2019-07-03,4.9100,4.9100,4.8300,4.8500,2730200,13251358.0000
2019-07-04,4.8700,4.9000,4.8500,4.8900,2782500,13557762.0000
2019-07-05,4.8700,4.9300,4.8700,4.9000,2955177,14482188.0700
2019-07-08,4.9100,4.9100,4.7400,4.7700,3169100,15227150.0000
2019-07-09,4.7600,4.8100,4.7300,4.7700,2324601,11072264.7300
2019-07-10,4.7600,4.8800,4.7300,4.8800,3977662,19118883.7000
2019-07-11,4.8400,4.8800,4.7800,4.8000,3675300,17772488.0000
2019-07-12,4.7700,4.8100,4.7700,4.7800,1567702,7508114.5400
2019-07-15,4.7800,4.8100,4.7200,4.7800,2585874,12314271.0200
