date,open,high,low,close,volume,amount
2019-01-02,4.8600,4.9300,4.8300,4.9200,16840702,82120258.0000
2019-01-03,4.9000,4.9600,4.8500,4.9000,16065986,78692797.0000
2019-01-04,4.8500,5.0200,4.8500,5.0000,21296577,105682451.0000
2019-01-07,5.0100,5.1100,5.0100,5.0900,25861254,131318709.0000
2019-01-08,5.1000,5.1100,5.0500,5.0800,16151538,82045706.0000
2019-01-09,5.0800,5.1300,4.9800,4.9900,24378144,123220313.0000
2019-01-10,5.0300,5.0800,5.0000,5.0000,17712424,89203007.0000
2019-01-11,4.9800,5.0400,4.9800,4.9900,13426995,67137908.0000
2019-01-14,5.0100,5.0500,4.9800,4.9900,11939918,59767859.0000
2019-01-15,4.9700,5.0400,4.9700,5.0300,15988893,80100308.0000
2019-01-16,5.0500,5.0500,4.9600,4.9700,16921325,84482946.0000
2019-01-17,5.0000,5.0100,4.9300,4.9500,10892263,54086971.0000
2019-01-18,4.9800,5.1200,4.9600,5.1100,33888545,171704147.0000
2019-01-21,5.1200,5.2300,5.1000,5.2000,28003948,145092942.0000
2019-01-22,5.2000,5.2200,5.1500,5.1800,13391536,69278792.0000
2019-01-23,5.1700,5.1800,5.0800,5.1200,11073162,56797947.0000
2019-01-24,5.1500,5.1600,5.0300,5.0800,14925516,75623953.0000
2019-01-25,5.0800,5.1100,5.0500,5.0600,12443018,63226429.0000
2019-01-28,5.0900,5.1400,5.0500,5.0800,12052774,61365638.0000
2019-01-29,5.0800,5.0800,4.9800,5.0200,14893434,74767840.0000
2019-01-30,5.0200,5.0300,4.9500,5.0000,9695730,48395830.0000
2019-01-31,5.0200,5.0500,4.9700,5.0000,12456576,62319355.0000
2019-02-01,5.0200,5.0500,4.9800,5.0500,12099196,60758678.0000
2019-02-11,5.0500,5.1100,5.0400,5.1100,18456210,93713101.0000
2019-02-12,5.1100,5.1400,5.0800,5.1300,24213382,123778014.0000
2019-02-13,5.1300,5.2400,5.1000,5.2000,38149683,197014268.0000
2019-02-14,5.1900,5.2100,5.1500,5.1600,24748965,127939665.0000
2019-02-15,5.1600,5.1600,5.0900,5.1000,25152239,128801852.0000
2019-02-18,5.1200,5.2100,5.1200,5.2100,27231500,141117046.0000
2019-02-19,5.2100,5.2500,5.1500,5.1800,34078519,177251270.0000
2019-02-20,5.1900,5.2000,5.1500,5.1700,19429889,100525830.0000
2019-02-21,5.1400,5.2000,5.1000,5.1100,46185824,237783873.0000
