date,open,high,low,close,volume,amount
2025-09-16,13.9,14.03,13.67,13.7,51625700,711482460.0
2025-09-17,13.67,13.74,13.44,13.57,59887800,816034134.0
2025-09-18,13.58,13.64,13.15,13.32,66240541,889074048.04
2025-09-19,13.12,13.37,13.12,13.21,27855777,369278503.78
2025-09-22,13.24,13.45,13.19,13.4,28512440,379374697.68
2025-09-23,13.3,13.4,13.0,13.26,31422037,415357689.57
2025-09-24,13.17,13.43,13.16,13.28,33690753,447366594.25
2025-09-25,13.27,13.38,13.2,13.25,27143400,360970520.79
2025-09-26,13.21,13.45,13.18,13.32,29597283,394571111.13
2025-09-29,13.3,14.4,13.28,13.68,141977334,1967908617.29
2025-09-30,13.7,13.9,13.41,13.53,88407409,1201650086.52
2025-10-09,13.49,13.67,13.3,13.46,86214928,1159751621.82
2025-10-10,13.45,14.81,13.4,14.26,203106746,2899503328.94
2025-10-13,14.0,14.85,13.77,14.25,161103784,2284814323.98
2025-10-14,14.18,14.79,14.14,14.23,125059492,1801482514.68
2025-10-15,14.2,14.54,13.91,14.3,99480413,1412987912.79
2025-10-16,14.16,14.37,14.03,14.2,67303627,953333434.11
2025-10-17,14.14,14.26,13.76,13.79,60207251,841659665.46
2025-10-20,13.98,14.02,13.7,13.72,43150453,596006114.26
2025-10-21,13.76,14.11,13.73,13.85,66246815,921163013.0
2025-10-22,13.75,13.8,13.6,13.63,31823816,434793365.92
2025-10-23,13.92,14.2,13.76,14.19,103458310,1446965810.1
2025-10-24,14.04,14.13,13.85,14.07,81913075,1143775029.38
2025-10-27,14.2,14.43,14.05,14.28,92515295,1316846307.77
2025-10-28,14.22,14.27,14.03,14.07,53191772,750989207.95
2025-10-29,14.02,14.47,14.0,14.42,81065733,1159958321.32
2025-10-30,14.38,14.51,14.2,14.23,58343468,834841768.07
2025-10-31,14.41,14.44,14.03,14.04,66963195,950278359.75
2025-11-03,14.01,14.05,13.77,13.95,42516632,589920125.45
2025-11-04,13.9,13.92,13.76,13.8,33645395,465305149.96
2025-11-05,13.7,13.87,13.68,13.74,28451212,391846917.25
2025-11-06,13.84,14.49,13.8,14.26,104699501,1491652413.31
2025-11-07,14.16,14.4,14.12,14.16,46703057,664422686.5
2025-11-10,14.18,14.56,14.05,14.36,61903204,886436988.92
2025-11-11,14.36,14.42,14.08,14.09,39639157,562872219.35
2025-11-12,14.08,14.13,13.83,13.88,43876670,612103167.88
2025-11-13,13.88,14.13,13.88,14.09,54051427,757659968.96
2025-11-14,14.0,14.02,13.73,13.73,53160105,737328245.39
2025-11-17,13.7,13.78,13.45,13.5,40155192,543890177.2
2025-11-18,13.48,13.71,13.48,13.54,26736656,362892911.92
2025-11-19,13.51,13.68,13.45,13.54,21726027,294377629.1
2025-11-20,13.79,13.83,13.41,13.44,36778692,499747629.81
2025-11-21,13.3,13.4,13.0,13.0,40287258,530333956.93
2025-11-24,13.05,13.08,12.87,12.91,27054405,349992006.02
2025-11-25,12.98,13.07,12.91,12.93,22999121,298449166.18
2025-11-26,12.95,13.0,12.87,12.89,18327500,237060920.0
2025-11-27,12.89,13.05,12.86,12.94,17665996,229240541.16
2025-11-28,12.93,12.99,12.87,12.96,18085284,234045815.64
2025-12-01,12.9,13.06,12.89,13.06,21993961,285970341.61
2025-12-02,13.06,13.09,12.88,12.91,17582230,227525986.48
2025-12-03,12.94,12.99,12.82,12.83,16849179,217322577.24
2025-12-04,12.82,12.92,12.8,12.91,13995311,180182448.28
2025-12-05,12.87,13.23,12.86,13.12,37671322,492329914.98
2025-12-08,13.5,13.64,13.33,13.48,67929088,918608110.8
2025-12-09,13.14,13.18,12.87,12.9,62949295,816938080.05
2025-12-10,12.84,12.98,12.73,12.97,30906590,396988584.92
2025-12-11,12.94,12.95,12.75,12.76,22322033,286542750.28
2025-12-12,12.8,12.83,12.58,12.79,36234026,460325536.12
2025-12-15,12.72,13.01,12.67,12.8,30935926,397671472.61
2025-12-16,12.75,12.85,12.65,12.76,20109200,255883421.0
2025-12-17,12.72,13.11,12.63,13.0,40737235,525308596.56
2025-12-18,12.98,13.11,12.84,13.04,37566223,489188819.13
2025-12-19,13.03,13.25,13.0,13.17,35078884,462249133.13
2025-12-22,13.14,13.25,13.05,13.11,20840350,273877913.5
2025-12-23,13.17,13.24,13.08,13.11,21419641,281904600.05
2025-12-24,13.1,13.24,13.08,13.19,18667657,245539642.62
2025-12-25,13.22,13.29,13.15,13.17,27833800,367725896.0
2025-12-26,13.14,13.44,13.12,13.25,33617495,446576023.36
2025-12-29,13.28,13.28,13.08,13.13,20852059,274575331.09
2025-12-30,13.08,13.16,13.02,13.07,19837664,259481690.84
2025-12-31,13.08,13.32,13.05,13.12,23241191,306510049.51
2026-01-05,13.16,13.48,13.15,13.4,44152294,588374727.39
2026-01-06,13.42,13.98,13.37,13.95,84265458,1160101893.17
2026-01-07,13.92,13.98,13.65,13.78,48780038,673173583.23
2026-01-08,13.66,13.68,13.32,13.37,46184584,620773332.37
2026-01-09,13.37,13.64,13.3,13.45,36063619,485082250.18
2026-01-12,13.43,13.55,13.32,13.52,46658680,626757273.49
2026-01-13,13.56,13.78,13.5,13.56,46369571,631498794.94
2026-01-14,13.47,13.81,13.26,13.29,73583231,995087054.99
2026-01-15,13.26,13.28,12.95,12.99,53970093,706497421.32
2026-01-16,13.09,13.15,12.73,12.78,55816662,718922186.47
2026-01-19,12.75,12.89,12.71,12.82,30600191,391706342.24
2026-01-20,12.82,12.91,12.8,12.87,29342829,377050417.05
2026-01-21,12.83,12.92,12.78,12.81,29840357,383369412.45
2026-01-22,12.85,12.91,12.66,12.69,45306124,577587123.17
2026-01-23,12.73,12.75,12.53,12.56,58623796,739877732.22
2026-01-26,12.57,12.75,12.54,12.57,65516221,827125840.93
2026-01-27,12.58,12.61,12.38,12.46,38794413,485111771.33
2026-01-28,12.47,12.68,12.42,12.59,56521436,711129991.85
2026-01-29,12.59,12.86,12.46,12.79,60845256,770275884.83
2026-01-30,12.73,12.79,12.49,12.54,39708909,500905989.54
2026-02-02,12.4,12.64,12.28,12.31,42858558,533888585.88
2026-02-03,12.39,12.41,12.14,12.24,36757559,449911492.99
2026-02-04,12.24,12.47,12.19,12.45,33940236,419795944.99
2026-02-05,12.45,12.58,12.38,12.55,29381954,367046580.01
2026-02-06,12.49,12.56,12.4,12.41,22767827,283873370.39
2026-02-09,12.5,12.57,12.47,12.57,21992621,275526365.67
2026-02-10,12.6,12.61,12.51,12.54,18089144,227037094.1
2026-02-11,12.53,12.65,12.48,12.56,28711318,361097588.37
2026-02-12,12.56,12.61,12.4,12.43,30737200,384060903.0
2026-02-13,12.46,12.59,12.37,12.38,30265159,377317597.71
2026-02-24,12.46,12.47,12.27,12.28,32803336,404588106.07
2026-02-25,12.3,12.49,12.29,12.4,32118824,398572385.02
2026-02-26,12.41,12.43,12.32,12.36,18777728,231989137.05
2026-02-27,12.37,12.64,12.32,12.56,37285793,466589081.65
2026-03-02,12.4,12.5,12.31,12.41,38045385,472316506.67
2026-03-03,12.41,12.67,12.35,12.35,44716057,558562630.69
2026-03-04,12.28,12.32,11.89,11.99,49254842,592842731.87
2026-03-05,12.13,12.17,11.98,12.08,25605875,309437290.55
2026-03-06,12.01,12.29,12.01,12.24,25434323,310125768.06
2026-03-09,12.05,12.08,11.93,11.98,31855372,382555438.89
2026-03-10,12.08,12.17,12.02,12.12,21950636,265173455.67
2026-03-11,12.13,12.26,12.09,12.21,20221424,246346139.31
2026-03-12,12.2,12.33,12.17,12.25,19306273,236577417.82
2026-03-13,12.21,12.34,12.05,12.21,32349488,394849457.76
2026-03-16,12.18,12.22,12.06,12.16,21563966,262068055.2
2026-03-17,12.21,13.3,12.17,12.74,144980480,1862114649.39
2026-03-18,12.78,12.8,12.36,12.46,89884061,1120334987.76
2026-03-19,12.31,12.38,12.21,12.25,60740489,745736252.54
2026-03-20,12.28,12.32,11.8,11.8,74653516,895544204.2
2026-03-23,11.53,11.59,11.16,11.21,62458676,711507321.49
2026-03-24,11.34,11.43,11.15,11.32,39602767,447540650.07
2026-03-25,11.4,11.59,11.33,11.52,31179366,357588473.14
2026-03-26,11.49,11.53,11.25,11.28,22120013,251556734.73
2026-03-27,11.2,11.42,11.18,11.33,22219219,251926330.29
2026-03-30,11.18,11.35,11.15,11.3,24526323,276277371.97
2026-03-31,11.3,11.42,11.2,11.21,21597122,244513217.03
2026-04-01,11.38,11.46,11.25,11.38,25926260,294358451.85
2026-04-02,11.36,11.36,11.17,11.24,22017814,248002970.06
